Comment,Designator,Footprint,LCSC
BQ24075,U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464
4.7uF,"C88,C89,C91,C94,C96,C97,C98",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733
10k,"R4,R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25744
47k,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792
1k5,R8,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867
2k2,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25879
MAX17048,U2,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,C2682616
100nF,C93,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
nRF52840_E73-2G4M08S1C,U6,nRF52840_E73-2G4M08S1C,C356849
1uF,"C90,C92,C95",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
SW_Push,SW54,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D74,D_SOD-323_HandSoldering,
SW_Push,SW84,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW71,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D19,D_SOD-323_HandSoldering,
1N4148WS,D79,D_SOD-323_HandSoldering,
1N4148WS,D8,D_SOD-323_HandSoldering,
1N4148WS,D64,D_SOD-323_HandSoldering,
SW_Push,SW34,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D28,D_SOD-323_HandSoldering,
1N4148WS,D2,D_SOD-323_HandSoldering,
1N4148WS,D49,D_SOD-323_HandSoldering,
1N4148WS,D58,D_SOD-323_HandSoldering,
MountingHole,H1,MountingHole_2.2mm_M2,
SW_Push,SW46,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW53,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW3,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW65,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW56,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D81,D_SOD-323_HandSoldering,
SW_Push,SW74,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW14,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW45,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D35,D_SOD-323_HandSoldering,
1N4148WS,D75,D_SOD-323_HandSoldering,
SW_Push,SW51,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D4,D_SOD-323_HandSoldering,
1N4148WS,D3,D_SOD-323_HandSoldering,
SW_Push,SW61,SW_Cherry_MX_PCB_1.25u,
SW_Push,SW7,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D47,D_SOD-323_HandSoldering,
SW_Push,SW15,SW_Cherry_MX_PCB_1.00u,
R2,TP23,TestPoint_Pad_D1.0mm,
1N4148WS,D65,D_SOD-323_HandSoldering,
Fiducial,FID3,Fiducial_1mm_Mask2mm,
MountingHole,H6,MountingHole_2.2mm_M2,
SW_Push,SW33,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D32,D_SOD-323_HandSoldering,
SW_Push,SW63,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D77,D_SOD-323_HandSoldering,
1N4148WS,D26,D_SOD-323_HandSoldering,
1N4148WS,D61,D_SOD-323_HandSoldering,
Fiducial,FID4,Fiducial_1mm_Mask2mm,
1N4148WS,D41,D_SOD-323_HandSoldering,
1N4148WS,D25,D_SOD-323_HandSoldering,
SW_Push,SW70,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D73,D_SOD-323_HandSoldering,
SW_Push,SW37,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW36,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW12,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D60,D_SOD-323_HandSoldering,
SW_Push,SW27,SW_Cherry_MX_PCB_2.00u,
SW_Push,SW57,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D13,D_SOD-323_HandSoldering,
SRV05-4,U5,SOT-23-6,
SW_Push,SW16,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW25,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW66,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW73,SW_Cherry_MX_PCB_2.75u,
1N4148WS,D38,D_SOD-323_HandSoldering,
1N4148WS,D88,D_SOD-323_HandSoldering,
MX_stab,S3,STAB_MX_ISO-ROT,
SW_Push,SW32,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW62,SW_Cherry_MX_PCB_1.00u,
1N4148WS,D50,D_SOD-323_HandSoldering,
SW_Push,SW19,SW_Cherry_MX_PCB_1.00u,
SW_Push,SW58,SW_Cherry_MX_PCB_1.00u,
