Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,304.1525,-112.55,270.0,bottom
BT2,Battery_Cell,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,314.0325,-112.55,270.0,bottom
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.88,-28.3175,270.0,bottom
C100,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,344.15,-36.2,270.0,bottom
C11,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,219.93,-28.3125,270.0,bottom
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,248.5,-28.3175,270.0,bottom
C13,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,267.55,-28.3175,270.0,bottom
C14,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,286.605,-28.3175,270.0,bottom
C15,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,305.655,-28.3175,270.0,bottom
C16,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,30.15,-53.2575,90.0,bottom
C17,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,49.2,-53.2575,90.0,bottom
C18,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,68.25,-53.2575,90.0,bottom
C19,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.3,-53.2575,90.0,bottom
C20,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,106.35,-53.2575,90.0,bottom
C21,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.4,-53.2575,90.0,bottom
C22,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-53.2575,90.0,bottom
C23,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,163.5,-53.2575,90.0,bottom
C24,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,182.55,-53.2575,90.0,bottom
C25,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,201.6,-53.2575,90.0,bottom
C26,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,220.65,-53.2575,90.0,bottom
C27,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,239.7,-53.2575,90.0,bottom
C28,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,258.75,-53.2575,90.0,bottom
C29,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,287.33,-53.2575,90.0,bottom
C3,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,38.95,-28.3175,270.0,bottom
C30,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,324.875,-53.2575,90.0,bottom
C31,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,343.925,-53.2575,90.0,bottom
C32,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,362.98,-53.2575,90.0,bottom
C33,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,43.705,-74.9375,270.0,bottom
C34,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,67.525,-74.9425,270.0,bottom
C35,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,86.575,-74.9425,270.0,bottom
C36,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,105.625,-74.9425,270.0,bottom
C37,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.675,-74.9425,270.0,bottom
C38,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,143.725,-74.9425,270.0,bottom
C39,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,162.775,-74.9425,270.0,bottom
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.05,-28.3175,270.0,bottom
C40,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,181.825,-74.9425,270.0,bottom
C41,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.875,-74.9425,270.0,bottom
C42,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,219.925,-74.9425,270.0,bottom
C43,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,238.975,-74.9425,270.0,bottom
C44,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,258.025,-74.9425,270.0,bottom
C45,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,277.075,-74.9425,270.0,bottom
C46,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,303.275,-84.4675,270.0,bottom
C47,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,333.675,-74.9425,270.0,bottom
C48,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,352.725,-74.9425,270.0,bottom
C49,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,371.775,-74.9425,270.0,bottom
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,96.1,-28.3175,270.0,bottom
C50,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,37.3,-91.3575,90.0,bottom
C51,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,63.5,-91.3575,90.0,bottom
C52,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.555,-91.3575,90.0,bottom
C53,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,101.6,-91.3575,90.0,bottom
C54,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.65,-91.3575,90.0,bottom
C55,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,139.7,-91.3575,90.0,bottom
C56,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.75,-91.3575,90.0,bottom
C57,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,177.8,-91.3575,90.0,bottom
C58,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,196.85,-91.3575,90.0,bottom
C59,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,215.9,-91.3575,90.0,bottom
C6,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.15,-28.3175,270.0,bottom
C60,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,234.95,-91.3575,90.0,bottom
C61,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,254.0,-91.3575,90.0,bottom
C62,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,273.05,-91.3575,90.0,bottom
C63,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,41.345,-113.0425,270.0,bottom
C64,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,62.78,-113.0425,270.0,bottom
C65,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,81.825,-113.0425,270.0,bottom
C66,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.875,-113.0425,270.0,bottom
C67,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,119.925,-113.0425,270.0,bottom
C68,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.975,-113.0425,270.0,bottom
C69,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.025,-113.0425,270.0,bottom
C7,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.19,-28.3125,270.0,bottom
C70,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,177.075,-113.0425,270.0,bottom
C71,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,196.125,-113.0425,270.0,bottom
C72,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,215.175,-113.0425,270.0,bottom
C73,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,234.225,-113.0425,270.0,bottom
C74,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,253.275,-113.0425,270.0,bottom
C75,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,289.0,-113.0425,270.0,bottom
C76,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,352.75,-113.0425,270.0,bottom
C77,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,32.55,-129.4575,90.0,bottom
C78,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,56.355,-129.4575,90.0,bottom
C79,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,80.155,-129.4575,90.0,bottom
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,162.775,-28.3175,270.0,bottom
C80,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.58,-129.4575,90.0,bottom
C81,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,223.05,-129.4575,90.0,bottom
C82,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,246.85,-129.4575,90.0,bottom
C83,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,270.675,-129.4575,90.0,bottom
C84,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,294.5,-129.4575,90.0,bottom
C85,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,324.9,-129.4575,90.0,bottom
C86,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,343.95,-129.4575,90.0,bottom
C87,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,363.0,-129.4575,90.0,bottom
C88,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,378.175,-40.3,0.0,bottom
C89,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,322.9575,-103.44,90.0,bottom
